First Name,Second Name,Company,Position,Description,Tags
Clara,Neppel,IEEE,"Senior Director, European Business",,Applied AI
Andi,Dervishi,IFC,"Chief Investment Officer & Global Head, Fintech, ePayments and New Finance","Andi Dervishi founded and leads IFC’s FinTech Investments Group.  An entrepreneur at heart turned venture capitalist, he enjoys identifying good companies with excellent management teams and helping them build their business.  Andi started investing in his native country, Albania, in a number of industries.  For IFC he has invested around the world, in over 30 countries.  During the past decade he and his team have focused exclusively on FinTech, helping IFC build the largest dedicated fintech portfolio in emerging markets.  He is involved in all aspects of the business, from marketing, sourcing, selecting and managing to exiting.  Andi represents IFC in a few boards where he takes active part in multiple committees to help management teams establish strategy, define objectives, ensure internal and external alignment for simple and effective execution.

Andi is a student of money and finance – he uses historical perspectives to form very long-term views on the future of financial infrastructure, banking, lending, insurance, capital markets and ultimately money itself.  Those views form the foundation for the Group’s operations, the portfolio build up and composition, as well as the timing of exits.  He has a BS summa cum laude in Linguistics from the University of Tirana in Albania and an MBA from Emory University in the USA.",Big Data & AnalyticsmBanking/FinanceUser ExperienceConnected Living – WearablesMarketing/AdvertisingLocation Based ServicesConsumer goodsIoTThe Digital Consumer
Mark,Britt,iflix Group,CEO & Co-Founder,"Mr. Britt is an experienced leader of technology, content and marketing led businesses. Prior to founding iflix, Mr. Britt served as CEO of Nine Entertainment Co’s digital arm Mi9, where he was responsible for the company’s SVOD investments and portfolio of start up ventures. Mr. Britt was formerly also, General Manager of Microsoft’s Consumer and Online business for Asia Pacific. During his tenure with the company, Mr. Britt was instrumental in expanding Microsoft’s consumer and Internet business into Southeast Asia, India, China, Japan and
Korea.
Mr. Britt holds a diploma in Law from LPAB.",Content & Media
Rachel,Way,Ignitia AB,Communications Manager,"Rachel is the Communications Manager at Ignitia AB, working from their offices in Accra, Ghana. Ignitia (www.ignitia.se) is the first forecasting system to produce highly accurate and localised weather predictions for the tropics. To get these forecasts into the hands of farmers, Ignitia sends them a low-cost SMS by partnering with telecommunications companies and allowing the farmers to pay in micro-instalments from their existing mobile credit. Ignitia currently has over 330,000 subscribers in West Africa, and has sent over 74 million personalised forecasts to date. Rachel received her MSc in Empire, Colonialism and Globalisation from the London School of Economics, and her responsibilities include external communications, donor relations and media partnerships. Originally from the UK, she has worked in communications across Europe before settling in Ghana.""",Innovation
Simona,Scarpaleggia,IKEA Switzerland,CEO,"Simona Scarpaleggia is the CEO of IKEA Switzerland where she oversees strategy and operations of the retail business including nine stores, e-commerce and distributions with a total yearly turnover of EUR 1 billion.Before joining IKEA Switzerland, she has held various positions in IKEA Italy and other multinational companies as senior executive or HR Director.Sheis a passionate campaigner for all issues surrounding women’sempowerment. In 2009, she co-founded «Valore D»in Italy and later «Advance -Women in Swiss Business»in Switzerland.Both organization have a mission to boostgender diversity and to increasethe share of mixed-gender management teamsfor the benefit of our economies. Since January 2016, Scarpaleggia isco-chairing theUN High Level Panel on Women ´s Economic Empowerment. She holds a degree in political science and an MBA from SDA Bocconi School of Management. Simona Scarpaleggiais an Italian citizen, is married and has threechildren.Twitter https://twitter.com/@sscarpaleggiaLinkedIn https://www.linkedin.com/in/sscarpaleggia/",
Kim,Arazi,IN3,Founder,"Kim Arazi is a firm believer that technology can and should be used to improve our lives and make us more conscious, empathetic human beings & leaders. She works at the intersection of art, science, technology & entrepreneurship to encourage us to break down barriers, bring awareness to our biases and behaviours and inspire us to become more mindful about how we treat each other and our environment. 

 

Kim has 12 years of event strategy, creation, production & management experience in the tech industry.  She has produced numerous high-profile/high-impact events around the world, including international mobile awards, large –scale global tech conferences and CEO Summits bringing leaders, innovators and disruptors together to share their diverse knowledge and perspectives. 

 

Kim also works with and mentors early-stage startups, helping them become more conscious leaders and address their core challenges through facilitated workshops, and is a Diversity in Tech advocate.",Innovation
Shahid,Ahmed,Independent,"Digital, IoT & Technology Advisor","Shahid is currently an advisor to several early stage firms focused on the wireless and digital sectors helping entrepreneurs turn innovative ideas into world class companies. Additionally, he is helping a telecom operator transform into Digital company. Lastly, he is teaching an Industrial Internet of Things (IoT) class at Northwestern University Engineering School.

Between October 2016 and January 2017, Shahid was a Partner at PwC responsible for several digital businesses including Emerging Technologies, IoT, Data & Analytics, PwC’s Emerging Technologies Lab, and PwC’s Center for Technology and Innovation. As the practice leader, Shahid’s goal was to transform PwC Consulting into a digital business. Shahid was also the New Ventures Lead helping PwC launch innovative new businesses in the consulting marketplace.
Prior to joining PwC, Shahid was a Managing Director with Accenture, where he was responsible for Accenture’s North America Communications $1B+ business. In this role, Shahid helped telecommunications clients build new capabilities, operate more efficiently and drive new growth. He was also responsible for the Network Practice in North America. During his 20-year tenure at Accenture, Shahid was involved in creating many practices including the formation of the wireless practice, the Accenture Cisco Business Group and the Accenture Alcatel-Lucent (now Accenture Nokia) Business Group.

Before Accenture, between 1992-96, Shahid held several management positions at Sprint where he spent four years expanding Sprint’s wireless services in North
America. Shahid was also responsible for rolling out the first cellular digital packet data (CDPD) network in the US.

Shahid is an active member of several industry groups. He currently serves on multiple advisory boards such as the Smart Network Council, Cellular Telecommunication and Internet Association (CTIA), Northwestern University Masters in Engineering Management (MEM) program and The Coral Group. Shahid was also a board member of Chicago Sinfonietta — a symphony founded in 1987 to promote diversity, inclusion and innovation in classical music.

In February 2011, Shahid was appointed as an Advisor to the Federal Communications Commission (FCC) advising on technology issues facing the United States. Shahid has worked on several policy issues and currently serves as the chair for IoT and cyber- security working groups.

Shahid was also a commencement speaker at Northwestern University’s McCormick
Engineering School in June 2015.

Shahid holds a Bachelor of Science degree in Computer Science from Elmhurst College and a Masters in Engineering Management from Northwestern University. He resides in Chicago.",The Fourth Industrial Revolution
Sharoda,Rapeti,Independent Consultant (Formerly Deloitte),,,Tech in Society
Laureen,Cook,Independent Consultant (formerly IFC) ,,"Laureen is currently working with Extelcon Consulting as an executive advisor to the TMT industry, having recently concluded her long tenure with the IFC (World Bank), as Principal TMT Advisor, in the Global Telecommunications, Media & Technology investment sector.  As a senior member of the Global TMT Team, she was responsible for the development of new business and evaluation of TMT investment opportunities in Emerging Markets; providing guidance on new projects and with portfolio companies including deal structure & operational improvements, from concept through to exit. Her investment sectors of focus include; Mobile/MVNO’s, Towers, Broadband (Wired & Wireless), Backhaul (Sateliite & Terrestrial Fiber), Subsea Fiber, Data Centers and Fintech. Prior to joining the IFC, Laureen was with Alcatel-Lucent, as Vice President 4G/LTE Strategy. At ALU, she was focused on the development of innovative, revenue generating, applications and services in order to accelerate the successful migration to 4G/LTE worldwide. She is a founding Director of GTWN, Global Telecommunications Woman’s Network, connecting C level women in the TMT industry on a global basis. As an industry veteran with 25+ years of telecoms experience, she has held Executive and BOD roles with some of world’s leading operators. Her global portfolio includes; MTC-Vodafone (now Zain) in the Middle East, Deutsche Telekom (Germany), Cable & Wireless, PLC (UK), and NYNEX USA (now Verizon). She is a founding Director of several joint venture European and Asian wireless companies; Debitel GmbH (Germany), Telestet (now Wind Hellas, Greece), and PT Satelindo (now Indosat) of Indonesia. Additionally, she was a Partner at KPMG Consulting in the UK and has been a member of the Board of Directors at several international telcos/startups; Paktel in Pakistan, Mobikom in Bulgaria, MTN in South Africa, and Surfkitchen in the UK. Her background includes; private equity/venture capital, business development, strategic planning, operational execution, engineering and re-engineering of Telco’s. She holds an MSc in Telecommunications Engineering from Rochester Institute of Technology, and an MBA from Long Island University in New York. In June 2017, Laureen was named to the Top 50 Women to Watch in the Telecoms Industry by Global Telecoms Business.",Future Services ProviderInnovation
Keng,Leong,Info-communications Media Development Authority of Singapore (IMDA),"Deputy Chief Executive (IMDA) and Executive Chairman, Data Protection Advisory Committee (DPAC)",,
Zeina,Nazer,Innova Consulting,MD,"Eng. Zeina Nazer (MSc. PE. MBA.) is a Senior Transport Advisor with 22 years experience in design, management, and operations of Intelligent Infrastructure Systems in Middle East, Europe, S.E. Asia and USA. Zeina has contributed to Standards development of Transport Systems worldwide and managed the delivery of several advisory services contracts to public sector clients relating to major Transport Master Plans, PPP and PFI.
After 7 years working in the Intelligent Transport field in the US with KPMG, Parsons and Aecom, Zeina moved in 2005 to London, UK to support international projects including leading international consultancy work with Arcadis for M25 Design-Build Integral Demand Management. Zeina also provided technical support to the financial design of New Zealand Toll System project with Deloitte and supported Booz &Co in the PMO for Abu Dhabi DOT.
Zeina has Bachelor of Sciences in Civil Engineering from American University of Beirut in 1998, MSc. in Transportation Engineering from University of Texas at Austin in 1999 and MBA from University of Chicago in 2008. Zeina is a Professional Engineer licensed in USA.
Zeina has authored over 100 papers submitted to international magazines and conferences in USA, MENA, South East Asia, UK and Europe.
Zeina was awarded “Best Business Woman of the Year” at the 8th Middle East Businesswomen and Leaders Achievement Awards, Dubai, UAE in March 2009.
Zeina founded Innova Consulting Ltd (ICL) in London in 2007 specialising in Intelligent Transport Systems (ITS) engineering and consulting services for both public and private sectors.

Zeina co-founded ITS-Arab in London in 2005, a not-for-profit organisation dedicated to promoting knowledge transfer and partnership between transport professionals in MENA region.

Zeina acted as chair of the International Organization for Standardization (ISO) Technical Working Group TC204 WG1 on ITS Systems Architecture, contributing to Standards development of Transport Systems.

Zeina served as Director on the Board of Women in Transportation (WTS) in USA. WTS is an international organization dedicated to the professional advancement of women in transportation. Boasting over 8,000 members.",The Fourth Industrial Revolution
Amir,Faintuch,Intel,Senior vice president and general manager of the Platform Engineering Group,"Amir Faintuch is senior vice president and general manager of the Platform Engineering Group at Intel Corporation. In this role, he leads numerous worldwide engineering teams that are responsible for the IP design, system-on-chip (SoC) development, manufacturing and validation of the company’s overall chip portfolio across Intel businesses.

 

Prior to joining Intel, Faintuch was president of Qualcomm Atheros, a large subsidiary of Qualcomm Inc., where he managed the company’s networking, connectivity infrastructure and emerging Internet of Things semiconductor businesses. He also managed worldwide technical execution growing the business into a leadership position on a large scale spanning multiple wireless and wired technologies across market segments.

 

Faintuch also previously served as senior vice president and general manager of Qualcomm Atheros’ Consumer Business Unit, overseeing the company’s wireless connectivity and location technologies. Faintuch also held prior senior management roles at Atheros, including vice president and general manager of the company’s Mobile Wireless business unit. Prior to joining Atheros, Faintuch was senior director at Texas Instruments.

 

Faintuch earned his bachelor’s degree in economics and business administration from Haifa University in Israel. He also holds a dual MBA degree in high technology management from the Kellogg School of Management at Northwestern University and the Recanati Business School at Tel Aviv University.",Innovation
Caroline,Chan,Intel,"VP, Data Center Group & GM, 5G Infrastructure Division",,
Alan,Carlton,InterDigital,MD & VP Europe,"Alan Carlton is Vice President, InterDigital and Head of InterDigital International Labs Organization spanning Europe and Asia. In these regions Alan is responsible for R&D activities in the areas of 5G and IoT. Alan has led his organization to over a dozen major collaborative project wins. He founded and currently leads the oneTRANSPORT initiative, one of the largest Smart City projects in the UK. In the area of 5G Alan’s research interests include next generation internet and advanced applications of NFV/SDN technologies. Alan has over 25 years wireless industry experience spanning every generation of wireless. Prior to InterDigital, he held senior positions at Nortel, Siemens and several wireless startups both in Europe and United States. Alan is an EEE graduate of the University of Strathclyde, Glasgow and also holds a MSc. in Communications & Signal Processing from Imperial College, London. Alan holds over 25 patents covering a diverse range of wireless technology areas. He is a regular invited speaker at wireless industry events and is also author of a wireless futures blog on the IDG network.",WiFiBig Data & Analytics5GNetwork TechnologyNext Generation NetworksOSS/BSSSecurityIoTCloud ServicesThe Network
Charlotte,Lindsey-Curtet,International Committee of the Red Cross,"Director, Communication & Information Management",,Big Data & AnalyticsUser ExperienceEnterprise & Business ITNetwork TechnologyNext Generation NetworksSecurityEducationTech in Society
Atul,Mehta,International Finance Corporation (IFC),"Director and Global Head & Global Director for Telecom, Media, and Technology, Venture Capital & Funds",,Future Services Provider
Doreen,Bogdan-Martin,International Telecommunication Union,"Chief, Strategic Planning & Membership","Doreen Bogdan-Martin is a strategic leader with more than 20 years of high-level experience in international and inter-governmental relations.  She has a long history of success in policy and strategy development, analysis and execution.  

 

Since 2008, Ms Bogdan-Martin has been Chief of Strategic Planning & Membership for the International Telecommunication Union (ITU), located in Geneva, Switzerland.  ITU is the specialized United Nations agency for information and communication technologies (ICTs), with 193 Member States and a membership of nearly 800 private sector entities and academic institutions around the globe. It is dedicated to bringing connectivity to all the world’s people through development assistance, standardization and coordination of radiocommunications. 

 

Ms Bogdan-Martin leads the organization’s strategic planning processes, while also overseeing the organization’s Membership, Corporate Communications and External Affairs teams.  She also coordinates the work of the United Nations Broadband Commission for Sustainable Development, serves as Secretary to the ITU Governing Body, and as Coordinator of United Nations affairs for the organization.

 

Ms Bogdan-Martin has advised governments from around the world on policy and regulatory reform measures. She has organized impact-driven global conferences with thousands of participants from 150+ countries, brokered international consensus on many critical issues, and is a regular presenter at high-level international forums and summits. As part of this important work, she was one of the principal architects of the annual Global Symposium for Regulators, directed ITU’s first global youth summit #BYND, and is currently driving ITU latest high-profile initiative – EQUALS, The Global Partnership for Gender Equality in the Digital Age.

 

With a Master’s degree in International Communications Policy from American University in Washington, DC, Ms Bogdan-Martin completed post-graduate certification in Strategies for Leadership at the Institute for Management Development in Lausanne, Switzerland.  She is also certified in Accountability and Ethics by the United Nations Leaders Programme.  

 

Additionally, Ms Bogdan-Martin is an affiliate of the Harvard University Berkman-Klein Center for Internet and Society, and currently serves as the Co-Chair of the United Nations Strategic Planning Group and Chair of the Academic Council for the Swiss Network for International Studies.  She is also an experienced amateur radio operator.",
François,Rancy,International Telecommunication Union (ITU),"Director, Radiocommunication Bureau",,
Houlin,Zhao,International Telecommunication Union (ITU),Secretary-General,"Houlin Zhao was elected 19th Secretary-General of the ITU at the Busan Plenipotentiary Conference in October 2014. He took up his post on 1 January, 2015. Prior to his election, he served two terms of office as ITU Deputy Secretary-General (2007-2014), as well as two terms as elected Director of ITU's Telecommunication Standardization Bureau (1999-2006).

 

He is committed to further streamlining ITU's efficiency, to strengthening its membership base through greater involvement of the academic community and of small- and medium-sized enterprises, and to broadening multistakeholder participation in ITU's work.

He is married with one son and two grandchildren.",Tech in Society
Raúl,Echeberría,Internet Society,VP of Global Engagement,,
Peter,Virk,Jaguar Land Rover,"Director, Connected Car & Future Technology",,The Fourth Industrial Revolution
Markus,Golder,Jawwy from STC,CEO,"Markus Golder is the CEO of Jawwy from STC. Jawwy was launched by Saudi Telecom Company (STC) to target young, digitally savvy customers in the KSA with a fresh mobile service experience, which is digital-first, works off an app, and which allows customers to personalise, monitor and manage their plan in real time. Markus has 20 years of executive-level international experience with both incumbents and challenger operators in the telecommunications industry. He previously served as Vice President of Marketing at STC, Chief Commercial Officer at GO, Malta’s first quadruple play operator, and Chief Marketing Officer of Ooredoo in Oman. Markus holds a Master’s degree in Electrical Engineering from the Swiss Federal Institute of Technology and an MBA from London Business School.",Big Data & AnalyticsUser ExperienceMarketing/AdvertisingMedia/Content/EntertainmentLocation Based ServicesOSS/BSSConsumer goodsApp/Software DevelopmentFuture Services Provider
Ben,Maher,JCDecaux,Sales & Partnerships Director,"Ben has spent the last 17 years working in an industry that he is passionate about. Ben’s career so far has allowed him to build a vast knowledge base across the media landscape from both a commercial and marketing perspective, as well as indulging a creative side whilst building campaigns across multiple markets. Ben has had experience beyond media including working in areas such as Space Tourism and owning an online Casino at one stage.

He has strong experience across ad technology platforms, social networks, portals, peer to peer, mobile and OOH. Ben has been lucky enough to speak about the subjects that excite him including digital futures, brand exploitation, AI effectiveness and maximising marketing effectiveness.

Ben has worked across many territories with major agency groups, a huge number of Fortune 500 brands and start-ups to help them realise their digital ambitions. Before joining JCDecaux Ben ran Mashable in EMEA and South East Asia",Content & Media
John,Stone,John Deere,"SVP, Intelligent Solutions Group","John Stone is Senior Vice President, Intelligent Solutions Group, a position he has held since November 2016. In this role, he is responsible for managing the growth and profitability of the company's Intelligent Solutions Group and lead efforts to deliver innovative technologies that enhance the performance of John Deere equipment and allow customers to improve their operational performance and better manage costs.

Stone joined Deere & Company in 2002 as a project manager and held leadership positions in Waterloo, Iowa, and Mannheim, Germany. In January 2007, he assumed responsibility for the acquisition and integration of the Ningbo Benye Tractor and Automobile Company in China. Most recently, he was Global Director, Utility Tractor Product Line, during a period of rapid growth of that business. In June 2015, he was appointed Vice President, Corporate Strategy & Business Development.

Prior to joining Deere, Stone worked for General Electric as a Six Sigma Black Belt and before that was an officer in the U.S. Army.

Stone has a Bachelor of Science degree in mechanical engineering from the United States Military Academy and an MBA from Harvard Business School.

Deere & Company (NYSE: DE) is a world leader in providing advanced products and services and is committed to the success of customers whose work is linked to the land — those who cultivate, harvest, transform, enrich and build upon the land to meet the world’s dramatically increasing need for food, fuel, shelter and infrastructure. Since 1837, John Deere has delivered innovative products of superior quality built on a tradition of integrity. For more information, visit John Deere at its worldwide website at www.JohnDeere.com.",The Fourth Industrial Revolution
Keigo,Harada,KDDI,"GM, IoT Business Planning Department","Keigo Harada is General Manager, head of IoT Business Planning Department of KDDI, and is responsible for expanding IoT business for enterprise customers by leading development of new services and applications related to IoT.
He joined KDD (presently KDDI) in 1994 and has been involved in Solution(Enterprise) Business such as global network, system development and mobile cloud solution. He has extensive experience as a speaker",The Fourth Industrial Revolution
Juan,Rodriguez,Kingo Energy,CEO & Co-Founder,"Juan is passionate about inspiring people, problem solving, and defining a replicable strategy to turn on millions of lives around the world. Prior to founding Kingo, Juan gained 5+ years experience in sales and marketing working at Procter & Gamble and founded and ran Quetsol. Unreasonable Institute Fellow; Agora Partnerships Fellow; Forbes 30 under 30 Social Entrepreneur Nominee; Guatemalan Young Manager of the Year Runner-up; 2015 MIT Top Innovators under 35.",User ExperienceConnected Living – HomesConnected Living – mAutoConnected Living – Smart CitiesLocation Based ServicesNetwork TechnologySecurityDevicesIoTTech in Society
Juan,Rodriguez,Korea Telecom,Senior Researcher,"Denny Kim is a senior researcher from Korea Telecom (KT) specialising in web application technology, mobile broadband technology, and IoT and big data technology. His experience includes GSMA global IoT data standardization, KT mobile internet service development and KT convergence technology development. Denny Kim is a graduate from Korea University (Electric Engineering) and holds an E-MBA from Seoul National University.",
Jaya,Baloo,KPN,CISO,"Jaya Baloo the CISO of KPN Telecom in the Netherlands. She is recognized in 2017 as one of the top 100 CISO's globally. Jaya works with an amazing information security team of highly driven specialists.  Working in the information security arena for the past 18 years, she has worked mostly for global telecommunications companies such as Verizon and France Telecom. Jaya is also a frequent speaker at security conferences on subjects around lawful interception, mass surveillance, and cryptography.",The Fourth Industrial Revolution
Hyun-Pyo,Kim,KT,"VP, Infrastructure Lab",,
Don,Stroberg,Ligado Networks,"SVP, Corporate Development","Don Stroberg is the Senior Vice President, Corporate Development for Ligado Networks.  Don brings over 25 years of experience in telecommunications and technology industries to his current role.  He was most recently the COO for a DC-based, startup called Radius Networks.  In three years Don helped take Radius from pre-revenue to a projected $16M in 2017 revenue with its micro-proximity technology solutions.  Prior to this, Don was the Senior Vice President of Wholesale and Strategic Partnerships at Clearwire Corporation.  As the head of Wholesale, he took the business from inception to $450 million in revenue from the likes of Sprint, Comcast, and Time Warner.  Prior to Clearwire, Don worked in multiple positions with Sprint and Nextel Communications where he held roles in Sales, Marketing, and Strategy.  Prior to that Don was a member of the technology industry practice at Deloitte Consulting. He also has prior experience in the aerospace industry, where he worked in the New Aircraft Products Division of McDonnell Douglas.
Don has a BS in Aeronautical and Astronautical Engineering from the University of Illinois and an MBA from the University of Chicago.  He lives in Washington, DC with his wife and two children.",The Fourth Industrial Revolution
Chris,Tooley,Lycamobile,CEO,"Chris Tooley is responsible for overseeing the growth and development of the business in all its 23 operating countries as it continues to make in-roads to new markets. Tooley was appointed CEO in 2014, having already spent 10 years in senior leadership roles at Lycamobile. With decades of experience in the telecoms industry, Tooley has pioneered many of the technical, commercial and legal industry standards in the UK and Europe for prepaid products and has worked extensively with Government regulators and tax authorities. Tooley holds a MA in History and Economics from Oxford University.",WiFiBig Data & AnalyticsUser ExperienceMarketing/AdvertisingOSS/BSSDevicesApp/Software DevelopmentFuture Services Provider
Alex,Tan,M1 Limited ,Chief Innovation Officer,"Alex Tan joined M1 Limited in 2016 and is currently the Chief Innovation Officer.  He helms the product development, ICT and Digital Solutions team which is primarily involved with the development of new and innovative products and services.  In his role, he is responsible for the transformation and growth of strategic businesses and services beyond traditional telco connectivity roles.

Prior to M1, Mr Tan joined IDA in 2013 as the Director for National Information Infrastructure. He oversaw the development and industry growth of the communications infrastructure which includes the Next Generation Broadband Network, Cellular & Wireless Providers and Platforms, Data Centres, Singapore Internet Exchange and Data Centre Park. He was also the Covering Senior Director for Next Generation Infrastructure and was responsible for the conceptualization, strategic pitch, budget resourcing, governance framework and implementation of the communications network, sensors deployment and operating system of Singapore’s Smart Nation Platform.

Prior to IDA, Mr Tan joined M1 Limited in 2009. As part of its senior management team, he handled various portfolios including Head of Product Development, Head of Enterprise Services and Enterprise Network. He was also responsible for the implementation of M1’s Next Generation Broadband Network (NGBN) initiatives as well as engineering operations of M1’s Enterprise Data Centre and Networks.

Before M1 Limited, he was one of the Managing Directors and owners of QALA Singapore Pte Ltd and the QMax group of companies. While leading the group operations at QALA and QMax, he was responsible for the first commercial WIMAX service in Singapore as well as the island wide deployment of Wi-Fi coverage in Singapore under the Wireless@SG initiative by the Infocomm Development Authority (IDA) of Singapore.

With over 18 years of industry and operational experience in data and telecommunication products and services, he has played major roles in various national telecommunication projects initiated by government agencies such as the Maritime Port Authority of Singapore, Ministry of Education and IDA of Singapore.",
Alex,Barth,Mapbox,VP Business Development,"Alex is an open data expert with years of practice in developing and implementing open data strategies and solutions on behalf of multinational organizations like the United Nations and World Bank. At Mapbox, he leads our business development team and oversees partnerships, strategic expansion into new markets, and corporate development.
Before joining Mapbox, Alex was a developer and strategist for Development Seed. Prior to that, Alex managed information technology for an international development organization in Central America, where he became involved in the Central American open source community. In his free time, Alex has designed interactive robots and virtual reality interfaces, organized a traveling exhibit depicting life in Nicaragua and its sweatshops, and taken photos of his life and travels in Washington, DC, Nicaragua, and Austria.",The Fourth Industrial Revolution
Juan,Margenat,Marfeel,Co-Founder & Chief Operating Officer,"Juan Margenat is a Civil Engineer and also an MBA. He is Co-Founder and Chief Operating Officer at Marfeel. Margenat has a talent for spotting and investing in technology companies that are at the forefront of the industry and has served as an angel investor, mentor and advisor to numerous start-up companies in Europe (including Kantox, Habitissimo, Deporvillage, Captio, etc.). 

 

He served as the Founder and CEO at PlanB!, which is now part of Barcelo Group, one of Spain's leading tourist companies. He previously founded and served as the CEO at Bongo, which was later sold to Smart & Co. Both PlanB! and Bongo have received international recognition for their encouragement of tourism and commerce in Spain.

 

Margenat is often relied on for counsel and support in the technology community in Barcelona and is the power behind a lot of successful companies coming out of Barcelona.",Innovation
Barney,Steel,Marshmallow Laser Feast,Founder,,Content & Media
Nina,Nieuwoudt,Mastercard Labs,VP Product Development & Innovation ,,Big Data & AnalyticsUser ExperienceSecurityConsumer goodsDevicesIoTThe Digital Consumer
Nicolai,Schaettgen,Match-Maker Ventures,CEO,"Nicolai is an Entrepreneur with a strong background in digital industries. Today Nicolai is founder and CEO of Match-Maker Ventures. Match-Maker Ventures is dedicated to scaling innovation by helping startups and corporates to collaborate. Prior to that Nicolai was part of the Global TIME leadership team at Arthur D. Little. Nicolai advised multi-billion dollar companies and financial investors having gained strong experience in Board level interaction. Nicolai regularly acts as keynote speaker and engages as a mentor and writer for several accelerators and startups. Nicolai is a German citizen, lives in Austria, worked in 22 countries and studied in Austria and the US.",Innovation
Jennifer,Kyriakakis,MATRIXX Software,Founder & VP Marketing,,
Jeff,Sobeck,Mavenir,"Vice President of Sales, Access Networks Solutions","Leading sales for Mavenir’s Access Networks Solutions group, Jeff has responsibility for growing the company’s global market share in the 4G & 5G Radio, Cloud RAN and vEPC segments.

 

Jeff has worked in sales roles spanning the switching, transmission, data networking and wireless networks market segments.",5GNetwork TechnologyNext Generation NetworksThe Network
John,Baker,Mavenir,"SVP, Business Development","As a veteran of the mobile industry, a board member for 5G Americas, and a sought-after industry speaker, John Baker heads up the business development team at Mavenir, a software company intent on disrupting the market.

A visionary and driving force behind Mavenir’s business strategy, John is at the forefront of the company’s drive to change the way operators think about the deployment of their wireless infrastructure—taking a software-focused approach to innovation, with no ties to supporting legacy hardware.

Prior to joining Mavenir, John held senior positions with leading wireless companies including GM Mobility Infrastructure, Spirent Communications, VP& GM Network Solutions, CommScope, VP & GM Base Stations at Nokia and VP of Technology and Chief Technology Officer at Pacific Bell Mobile Services. John also contributed significantly in the development of the GSM standards. He graduated with an honors degree in electrical and electronic engineering from Loughborough University, Leicestershire, UK.",WiFiEnterprise & Business ITConnected Living – Smart Cities5GNetwork TechnologyNext Generation NetworksOSS/BSSThe Network
Christopher,Young,McAfee,CEO,,The Fourth Industrial Revolution
Kersten,Heineke,McKinsey & Company,Partner,"Since joining McKinsey as a consultant in 2010, Kersten has focused his work primarily in the automotive industry. He specializes in the impact of disruptions on the business models in automotive and works with OEMs, suppliers, mobility providers, and tech companies on the future of mobility.

Kersten has particular expertise in the following topics: connected cars, autonomous driving, and shared mobility. He leads both our client-facing and our internal work on these topics.",The Fourth Industrial Revolution
Martin,Wrulich,McKinsey & Company,Partner,"Martin is a Partner in McKinsey & Company's Vienna Office. He joined McKinsey after finishing his Ph.D. program and has focused his work on serving Telecom and High-Tech companies. He is a core member of McKinsey's technology&transformation practice, he is co-leading the global CTO service line, and he is leading the firm’s efforts around network virtualization (SDN, NFV, Cloud RAN).

Martin is a technology enthusiast, with a background in electrical engineering / wireless communications, which he graduated Ph.D. at Vienna University of Technology and Stanford. During his academic times, he has been with the institute of communications and radio-frequency engineering in Vienna as a research assistant, where he published multiple journal papers and books on HSPA and LTE networks, and was granted a patent on adaptive image processing.

During his professional career, Martin has led multiple engagements on cutting edge topics in technology strategy, 5G architecture, NFV and SDN, and operating model evolution both for vendors and operators. He continuously advises CTOs around the globe, and has seen a wide range of the telecom ecosystem. He also has been a presenter on the topic of network virtualization and its impact at TM forum’s digital disruption conference, and is a member of Telefonica’s disruptive council.

In his free time, Martin likes to travel and he is working on his private pilot license.",Big Data & Analytics5GNetwork TechnologyNext Generation NetworksOSS/BSSSecurityCloud ServicesThe Network
Kirti,Lad,Meraki Executive Search & Consulting Limited,Executive Director,,
Dan,Worden,Merge Labs,EVP,,Innovation
Mariana,Marquez,Metaspeech,Co-founder ,"Mariana Lucia Marquez is the co-founder of Metaspeech, an alternative public speaking training company. Drawing from choreography, movement direction, neuroscience and somatic research, Metaspeech's tried-and-tested approach hones in on non-verbal communication as the foundation to achieve a grounded presence.

 

In the last 3 years, Metaspeech's tech startup clients have raised over £40M from investors, pitch competitions  BBC's Dragon's Den, and gave talks at various Tedx, Digital Shoreditch, SXSW, 4YFN, Wired Japan, FT Innovation, and more. Mariana has been twice a mentor at Cannes Lions's R/GA Startup academy, a regular trainer for cohorts at Pitch@Palace, the Cabinet Office's Policy School, Cambridge Wireless, University of Cambridge Judge Business School, UCL Msc Entrepreneurship, and pitch coach in residence at Wayra UK/ Telefonica Open Future.",Innovation
Rachel,Balsham,MFS Africa,Deputy CEO,"Rachel manages investor relations, strategic partnerships, and talent. Prior to joining MFS Africa, she was a consultant with Bain & Co., where she worked on strategy and operations projects for telecom and financial services clients. She began her career at the Millennium Challenge Corporation, working on large-scale development grants in West Africa. She holds an MBA from the Wharton School and an AB from Smith College. She speaks fluent English and French, as well as basic Wolof.",Big Data & AnalyticsmBanking/FinanceUser ExperienceConnected Living – WearablesMarketing/AdvertisingLocation Based ServicesConsumer goodsIoTThe Digital Consumer
Arjmand,Samuel,Microsoft,Principal Program Manager,"Dr. Arjmand Samuel is the security lead for Microsoft Azure Internet of Things where he leads security for Azure IoT Suite, IoT Hub and Device SDKs. He also leads the Azure IoT Edge project, bringing cloud intelligence to edge devices. Arjmand has a PhD in Information Security from Purdue University, USA and has published in a variety of publications on topics of security, privacy, location aware access control and innovative use of mobile and IoT technology.",The Fourth Industrial Revolution
