Auke Bay Oil Plant AK USA,United States of America,Please Select,58.4609,-134.1781,28.3,Please Select,Please Select,"Juneau County, AK, USA",Please Select,1980-09-00,Alaska Electric Light and Power Co,100,,,,,,
Avenue A Generator Sets Oil Plant IL USA,United States of America,Please Select,41.7584,-89.917,3.6,Please Select,Please Select,"Whiteside County, IL, USA",Please Select,2000-09-00,Rock Falls City of,100,,,,,,
BP Wilmington Calciner Oil Plant CA USA,United States of America,Please Select,34.3209,-118.2212,34,Please Select,Please Select,"Los Angeles County, CA, USA",Please Select,1982-12-00,BP Amoco,100,,,,,,
Bainbridge Oil Plant GA USA,United States of America,Please Select,30.8807,-84.5739,80,Please Select,Please Select,"Decatur County, GA, USA",Please Select,2000-07-00,South Eastern Elec Devt Corp,100,,,,,,
Baldwin City Oil Plant KS USA,United States of America,Please Select,38.8803,-95.2891,6.4,Please Select,Please Select,"Douglas County, KS, USA",Please Select,2004-08-00,Baldwin City City of,100,,,,,,
Bancroft Oil Plant IA USA,United States of America,Please Select,43.2062,-94.2167,4.5,Please Select,Please Select,"Kossuth County, IA, USA",Please Select,,Bancroft Municipal Utilities,100,,,,,,
Bank of America Plaza Oil Plant GA USA,United States of America,Please Select,33.7932,-84.4621,3,Please Select,Please Select,"Fulton County, GA, USA",Please Select,1991-11-00,BF Realty Services LLC,100,,,,,,
Bar Harbor Oil Plant ME USA,United States of America,Please Select,44.6824,-68.3473,8,Please Select,Please Select,"Hancock County, ME, USA",Please Select,,Bangor Hydro-Electric Co,100,,,,,,
Barron Oil Plant WI USA,United States of America,Please Select,45.4258,-91.8502,8.6,Please Select,Please Select,"Barron County, WI, USA",Please Select,1998-06-00,Barron City of,100,,,,,,
Bassett Healthcare Oil Plant NY USA,United States of America,Please Select,42.6347,-75.0322,4,Please Select,Please Select,"Otsego County, NY, USA",Please Select,1992-07-00,Bassett Healthcare,100,,,,,,
Battle Mountain Oil Plant NV USA,United States of America,Please Select,39.9322,-117.0261,8,Please Select,Please Select,"Lander County, NV, USA",Please Select,1967-01-00,Sierra Pacific Power Co,100,,,,,,
Baxter Wilson Oil Plant MS USA,United States of America,Please Select,32.2831,-90.9306,1327.6,Please Select,Please Select,"Warren County, MS, USA",Please Select,1967-03-00,Entergy Mississippi Inc,100,,,,,,
Bayboro Oil Plant FL USA,United States of America,Please Select,27.934,-82.7229,226.8,Please Select,Please Select,"Pinellas County, FL, USA",Please Select,1973-04-00,Progress Energy Florida,100,,,,,,
Bayview Oil Plant VA USA,United States of America,Please Select,37.3486,-75.9029,12,Please Select,Please Select,"Northampton County, VA, USA",Please Select,1963-10-00,Conectiv Energy Supply Inc,100,,,,,,
Beaver City Oil Plant NE USA,United States of America,Please Select,40.1709,-99.9096,2,Please Select,Please Select,"Furnas County, NE, USA",Please Select,1957-10-00,Beaver City City of,100,,,,,,
Beaver Island Oil Plant MI USA,United States of America,Please Select,45.3053,-85.1272,3.3,Please Select,Please Select,"Charlevoix County, MI, USA",Please Select,2000-09-00,Great Lakes Energy Coop,100,,,,,,
Bellefonte Oil Plant AL USA,United States of America,Please Select,34.7333,-85.967,14,Please Select,Please Select,"Jackson County, AL, USA",Please Select,1998-12-00,Tennessee Valley Authority,100,,,,,,
Bellevue Oil Plant IA USA,United States of America,Please Select,42.2074,-90.527,8.6,Please Select,Please Select,"Jackson County, IA, USA",Please Select,,Bellevue City of,100,,,,,,
Benkelman Oil Plant NE USA,United States of America,Please Select,40.1714,-101.6858,1.2,Please Select,Please Select,"Dundy County, NE, USA",Please Select,,Benkelman City of,100,,,,,,
Benning Oil Plant DC USA,United States of America,Please Select,38.8994,-76.9592,580,Please Select,Please Select,"Washington County, DC, USA",Please Select,1968-06-00,Potomac Power Resources,100,,,,,,
Benson City of Oil Plant MN USA,United States of America,Please Select,45.2834,-95.6867,11.2,Please Select,Please Select,"Swift County, MN, USA",Please Select,1948-00-00,Benson City of,100,,,,,,
Berlin 5 Oil Plant VT USA,United States of America,Please Select,44.2701,-72.6163,41.8,Please Select,Please Select,"Washington County, VT, USA",Please Select,1972-06-00,Green Mountain Power Corp,100,,,,,,
Berlin Oil Plant MD USA,United States of America,Please Select,38.221,-75.3595,9,Please Select,Please Select,"Worcester County, MD, USA",Please Select,1961-00-00,Berlin Town of,100,,,,,,
Bethany II Oil Plant MO USA,United States of America,Please Select,40.3545,-93.9995,1.6,Please Select,Please Select,"Harrison County, MO, USA",Please Select,1993-07-00,Bethany City of,100,,,,,,
Bethany Oil Plant MO USA,United States of America,Please Select,40.3545,-93.9995,8,Please Select,Please Select,"Harrison County, MO, USA",Please Select,,Bethany City of,100,,,,,,
Bethel Oil Plant AK USA,United States of America,Please Select,60.9214,-159.7663,12.6,Please Select,Please Select,"Bethel County, AK, USA",Please Select,1976-11-00,Bethel Utilities Corp,100,,,,,,
Big Pine Oil Plant FL USA,United States of America,Please Select,25.4068,-81.0361,2.7,Please Select,Please Select,"Monroe County, FL, USA",Please Select,1969-02-00,Utility Board of Key West City,100,,,,,,
Bird City Oil Plant KS USA,United States of America,Please Select,39.7826,-101.7286,4,Please Select,Please Select,"Cheyenne County, KS, USA",Please Select,1965-01-00,Midwest Energy Inc,100,,,,,,
Blewett Oil Plant NC USA,United States of America,Please Select,34.9746,-80.1039,94.6,Please Select,Please Select,"Anson County, NC, USA",Please Select,1912-06-00,Progress Energy Carolinas,100,,,,,,
Block Island Oil Plant RI USA,United States of America,Please Select,41.4781,-71.638,7.8,Please Select,Please Select,"Washington County, RI, USA",Please Select,1993-08-00,Block Island Power Co,100,,,,,,
Blooming Prairie Oil Plant MN USA,United States of America,Please Select,44.0218,-93.2306,5.9,Please Select,Please Select,"Steele County, MN, USA",Please Select,1947-07-00,Blooming Prairie City of,100,,,,,,
Bloomington Power Plant Oil Plant UT USA,United States of America,Please Select,37.2765,-113.5007,11.9,Please Select,Please Select,"Washington County, UT, USA",Please Select,1999-03-00,St George City of,100,,,,,,
Blue Earth Oil Plant MN USA,United States of America,Please Select,43.6739,-93.948,8.1,Please Select,Please Select,"Faribault County, MN, USA",Please Select,1960-11-00,Blue Earth City of,100,,,,,,
Blue Lake Oil Plant MN USA,United States of America,Please Select,44.7869,-93.4267,616.8,Please Select,Please Select,"Scott County, MN, USA",Please Select,1974-03-00,Northern States Power Co,100,,,,,,
Bob Jones University Cogen Plant Oil Plant SC USA,United States of America,Please Select,34.8901,-82.3686,4.4,Please Select,Please Select,"Greenville County, SC, USA",Please Select,1978-01-00,Bob Jones University,100,,,,,,
Bolivar Oil Plant TN USA,United States of America,Please Select,35.2114,-88.9944,20,Please Select,Please Select,"Hardeman County, TN, USA",Please Select,2001-06-00,Bolivar Energy Authority,100,,,,,,
Boulevard Oil Plant GA USA,United States of America,Please Select,32.0111,-81.1385,46.8,Please Select,Please Select,"Chatham County, GA, USA",Please Select,1970-09-00,Georgia Power Co,100,,,,,,
Bowline Point Oil Plant NY USA,United States of America,Please Select,41.2044,-73.9689,1110,Please Select,Please Select,"Rockland County, NY, USA",Please Select,1972-09-00,Mirant Corp,100,,,,,,
Boydton Plank Road Cogen Plant Oil Plant VA USA,United States of America,Please Select,37.0763,-77.638,3,Please Select,Please Select,"Dinwiddie County, VA, USA",Please Select,1993-06-00,Dinwiddle Power Inc,100,,,,,,
Bradford Dyeing Association Oil Plant RI USA,United States of America,Please Select,41.4684,-71.6314,2.3,Please Select,Please Select,"Washington County, RI, USA",Please Select,1994-01-00,Bradford Dyeing Association Inc,100,,,,,,
Branford Oil Plant CT USA,United States of America,Please Select,41.2925,-72.7942,21.8,Please Select,Please Select,"New Haven County, CT, USA",Please Select,1967-11-00,NRG Energy,100,,,,,,
Breese Oil Plant IL USA,United States of America,Please Select,38.6065,-89.4224,13.9,Please Select,Please Select,"Clinton County, IL, USA",Please Select,1982-00-00,Breese City of,100,,,,,,
Bronx Zoo Oil Plant NY USA,United States of America,Please Select,40.8617,-73.8591,3.6,Please Select,Please Select,"Bronx County, NY, USA",Please Select,1991-01-00,New York Zoological Society,100,,,,,,
Brown University Central Heating Oil Plant RI USA,United States of America,Please Select,41.868,-71.5816,3.2,Please Select,Please Select,"Providence County, RI, USA",Please Select,1982-11-00,Brown University,100,,,,,,
Brownfield Oil Plant TX USA,United States of America,Please Select,33.17,-102.3308,17.9,Please Select,Please Select,"Terry County, TX, USA",Please Select,,Brownfield City of,100,,,,,,
Brunswick Oil Plant NV USA,United States of America,Please Select,39.149,-119.7391,6,Please Select,Please Select,"Carson City County, NV, USA",Please Select,1960-09-00,Sierra Pacific Power Co,100,,,,,,
Bryan Peaking Oil Plant OH USA,United States of America,Please Select,41.5603,-84.5882,5.4,Please Select,Please Select,"Williams County, OH, USA",Please Select,1999-07-00,OMEGAJV2,100,,,,,,
Burlington GT Oil Plant VT USA,United States of America,Operating Partially,44.4585,-73.0788,25.5,Gas Turbine,Peaking Load and Backup,"Chittenden County, VT, USA",Local Grid,1971-09-00,Burlington City of,100,,,,,,
Burlington Oil Plant CO USA,United States of America,Please Select,39.2987,-102.5986,129.4,Please Select,Please Select,"Kit Carson County, CO, USA",Please Select,1977-06-00,Tri-State G & T Assn Inc,100,,,,,,
Burlington Oil Plant KS USA,United States of America,Please Select,38.2327,-95.7286,12.8,Please Select,Please Select,"Coffey County, KS, USA",Please Select,,Burlington City of,100,,,,,,
Burwell Oil Plant NE USA,United States of America,Please Select,41.9091,-98.9868,3.9,Please Select,Please Select,"Garfield County, NE, USA",Please Select,1972-00-00,Burwell City of,100,,,,,,
Bushnell Oil Plant IL USA,United States of America,Please Select,40.4577,-90.6847,10.8,Please Select,Please Select,"McDonough County, IL, USA",Please Select,,Bushnell City of,100,,,,,,
Butler Oil Plant MO USA,United States of America,Please Select,38.2543,-94.3451,13.1,Please Select,Please Select,"Bates County, MO, USA",Please Select,,Butler City of,100,,,,,,
Buxton Oil Plant NC USA,United States of America,Please Select,35.7548,-75.7836,15,Please Select,Please Select,"Dare County, NC, USA",Please Select,1991-04-00,North Carolina El Member Corp,100,,,,,,
Buzzard Point Oil Plant DC USA,United States of America,Please Select,38.8678,-77.0117,288,Please Select,Please Select,"Washington County, DC, USA",Please Select,1968-05-00,Potomac Power Resources,100,,,,,,
Buzzard Roost Oil Plant SC USA,United States of America,Please Select,34.1772,-81.9222,212.6,Please Select,Please Select,"Greenwood County, SC, USA",Please Select,1971-04-00,Duke Carolinas LLC,100,,,,,,
CII Carbon LLC Oil Plant LA USA,United States of America,Please Select,29.9376,-89.9796,46,Please Select,Please Select,"St Bernard County, LA, USA",Please Select,1951-01-00,Rain CII Carbon LLC,100,,,,,,
CITGO Refinery Powerhouse Oil Plant LA USA,United States of America,Please Select,30.1836,-93.3172,75,Please Select,Please Select,"Calcasieu County, LA, USA",Please Select,1942-01-00,CITGO Petroleum Corp,100,,,,,,
CNN Center Oil Plant GA USA,United States of America,Please Select,33.7932,-84.4621,13,Please Select,Please Select,"Fulton County, GA, USA",Please Select,2001-02-00,TBS Properties,100,,,,,,
Cambridge Oil Plant NE USA,United States of America,Please Select,40.1709,-99.9096,2.9,Please Select,Please Select,"Furnas County, NE, USA",Please Select,2005-06-00,Cambridge City of,100,,,,,,
Campbell City Oil Plant MO USA,United States of America,Please Select,36.3135,-90.025,6.5,Please Select,Please Select,"Dunklin County, MO, USA",Please Select,1984-06-00,Campbell City of,100,,,,,,
Campbell Village Oil Plant NE USA,United States of America,Please Select,40.1697,-98.9479,1.3,Please Select,Please Select,"Franklin County, NE, USA",Please Select,,Campbell Village of,100,,,,,,
Canal Oil Plant MA USA,United States of America,Please Select,41.7694,-70.5097,1165,Please Select,Please Select,"Barnstable County, MA, USA",Please Select,1968-06-00,Mirant Corp,100,,,,,,
Cape Canaveral Oil Plant FL USA,United States of America,Please Select,28.4694,-80.7642,804,Please Select,Please Select,"Brevard County, FL, USA",Please Select,1965-04-00,Florida Power & Light Co,100,,,,,,
Cape Gas Turbine Oil Plant ME USA,United States of America,Please Select,43.8505,-70.4097,35,Please Select,Please Select,"Cumberland County, ME, USA",Please Select,1970-01-00,FPL Energy,100,,,,,,
Caribou Generation Station Oil Plant ME USA,United States of America,Please Select,46.8503,-67.9967,27.4,Please Select,Please Select,"Aroostook County, ME, USA",Please Select,1950-09-00,WPS Power Development Inc,100,,,,,,
Carlyle Oil Plant IL USA,United States of America,Please Select,38.6055,-89.4293,12.5,Please Select,Please Select,"Clinton County, IL, USA",Please Select,1971-08-00,Carlyle City of,100,,,,,,
Carmi Oil Plant IL USA,United States of America,Please Select,38.0926,-88.1841,16.3,Please Select,Please Select,"White County, IL, USA",Please Select,,Carmi City of,100,,,,,,
Caro Oil Plant MI USA,United States of America,Please Select,43.4693,-83.4165,9.4,Please Select,Please Select,"Tuscola County, MI, USA",Please Select,,Thumb Electric Coop of Mich,100,,,,,,
Carthage Oil Plant MO USA,United States of America,Please Select,37.2041,-94.3442,41.8,Please Select,Please Select,"Jasper County, MO, USA",Please Select,1946-07-00,Carthage City of,100,,,,,,
Cascade Oil Plant IA USA,United States of America,Please Select,42.4711,-90.8841,5.2,Please Select,Please Select,"Dubuque County, IA, USA",Please Select,1957-02-00,Cascade Municipal Utilities,100,,,,,,
Caterpillar Oil Plant IN USA,United States of America,Please Select,40.4022,-86.9009,4.3,Please Select,Please Select,"Tippecanoe County, IN, USA",Please Select,1983-12-00,Caterpillar Inc NUGs,100,,,,,,
Cedar Station Oil Plant NJ USA,United States of America,Please Select,39.9109,-74.2984,67.2,Please Select,Please Select,"Ocean County, NJ, USA",Please Select,1972-06-00,Conectiv Energy Supply Inc,100,,,,,,
Centennial Oil Plant AK USA,United States of America,Please Select,55.5641,-131.3782,3.3,Please Select,Please Select,"Ketchikan County, AK, USA",Please Select,1987-04-00,Metlakatla Power  and  Light,100,,,,,,
Centerville Oil Plant IA USA,United States of America,Please Select,40.7442,-92.8729,53.6,Please Select,Please Select,"Appanoose County, IA, USA",Please Select,1963-01-00,Interstate Power and Light Co,100,,,,,,
Chappell Oil Plant NE USA,United States of America,Please Select,41.1081,-102.3287,1.3,Please Select,Please Select,"Deuel County, NE, USA",Please Select,1947-01-00,Chappell City of,100,,,,,,
Charles Poletti Oil Power Plant NY USA,United States of America,Operating Fully,40.7875,-73.912,883,Sub-critical Steam Turbine,Please Select,"Queens County, NY, USA",Regional Grid,1977-03-00,New York Power Authority,100,,,,,,
Chena 6 Oil Plant AK USA,United States of America,Please Select,64.8556,-146.2789,23.1,Please Select,Please Select,"Fairbanks County, AK, USA",Please Select,,Golden Valley Elec Assn Inc,100,,,,,,
Cherry Street Oil Plant MA USA,United States of America,Please Select,42.4819,-71.3944,20.3,Please Select,Please Select,"Middlesex County, MA, USA",Please Select,1951-05-00,Hudson Town of,100,,,,,,
Chester Generating Station Oil Plant PA USA,United States of America,Please Select,39.975,-75.7574,55.8,Please Select,Please Select,"Chester County, PA, USA",Please Select,1969-02-00,Exelon Energy,100,,,,,,
Chevak Oil Plant AK USA,United States of America,Please Select,60.9214,-159.7663,1,Please Select,Please Select,"Bethel County, AK, USA",Please Select,1977-10-00,Alaska Village Elec Coop Inc,100,,,,,,
Chillicothe Oil Plant MO USA,United States of America,Please Select,39.8017,-93.5547,103.5,Please Select,Please Select,"Livingston County, MO, USA",Please Select,2003-06-00,Chillicothe Municipal Utils,100,,,,,,
Christiana Oil Plant DE USA,United States of America,Please Select,39.7289,-75.5381,56,Please Select,Please Select,"New Castle County, DE, USA",Please Select,1973-06-00,Conectiv Energy Supply Inc,100,,,,,,
Church Street Plant Oil Plant VA USA,United States of America,Please Select,38.7052,-77.4828,7.3,Please Select,Please Select,"Prince William County, VA, USA",Please Select,1979-10-00,Manassas City of,100,,,,,,
City Light  and  Water Oil Plant NE USA,United States of America,Please Select,40.1701,-98.4942,1.3,Please Select,Please Select,"Webster County, NE, USA",Please Select,1987-01-00,Blue Hill City of,100,,,,,,
City of Casey Oil Plant IL USA,United States of America,Please Select,39.3364,-87.7934,5.4,Please Select,Please Select,"Clark County, IL, USA",Please Select,2002-05-00,Casey City of,100,,,,,,
Clark Oil Plant SD USA,United States of America,Please Select,44.8598,-97.7348,2.7,Please Select,Please Select,"Clark County, SD, USA",Please Select,1970-00-00,Northwestern Energy (SD),100,,,,,,
Cleary Flood Oil Plant MA USA,United States of America,Please Select,41.8653,-71.1061,146.3,Please Select,Please Select,"Bristol County, MA, USA",Please Select,1966-06-00,Braintree Town of,7.3316,,,,,,
Cleveland Peaking Oil Plant OH USA,United States of America,Please Select,41.423,-81.6497,10.8,Please Select,Please Select,"Cuyahoga County, OH, USA",Please Select,2000-07-00,American Mun Power-Ohio Inc,100,,,,,,
Clinton Oil Plant MI USA,United States of America,Please Select,41.8953,-84.0675,4.2,Please Select,Please Select,"Lenawee County, MI, USA",Please Select,,Clinton Village of,100,,,,,,
Coggon Oil Plant IA USA,United States of America,Please Select,42.075,-91.6023,3.4,Please Select,Please Select,"Linn County, IA, USA",Please Select,1987-10-00,Coggon City of,100,,,,,,
Colby Oil Plant KS USA,United States of America,Please Select,39.3472,-101.0509,17.2,Please Select,Please Select,"Thomas County, KS, USA",Please Select,,Colby City of,100,,,,,,
Colchester 16 Oil Plant VT USA,United States of America,Please Select,44.4585,-73.0788,18,Please Select,Please Select,"Chittenden County, VT, USA",Please Select,1965-10-00,Green Mountain Power Corp,100,,,,,,
Coleman Oil Plant MO USA,United States of America,Please Select,37.0533,-89.5715,4.3,Please Select,Please Select,"Scott County, MO, USA",Please Select,,Sikeston City of,100,,,,,,
Colfax Oil Plant MI USA,United States of America,Please Select,42.6066,-83.9132,13.5,Please Select,Please Select,"Livingston County, MI, USA",Please Select,1969-11-00,Detroit Edison Co,100,,,,,,
Commercial Street Oil Plant MA USA,United States of America,Please Select,42.6678,-70.9586,1.1,Please Select,Please Select,"Essex County, MA, USA",Please Select,1975-11-00,Marblehead City of,100,,,,,,
Commonwealth Chesapeake Oil Plant VA USA,United States of America,Please Select,37.9908,-75.5392,402.5,Please Select,Please Select,"Accomack County, VA, USA",Please Select,2000-08-00,Tenaska,100,,,,,,
Connersville Oil Plant IN USA,United States of America,Please Select,39.6528,-85.175,83.6,Please Select,Please Select,"Fayette County, IN, USA",Please Select,1972-05-00,Duke Indiana Inc,100,,,,,,
Coon Rapids II Oil Plant IA USA,United States of America,Please Select,42.0362,-94.8607,5.4,Please Select,Please Select,"Carroll County, IA, USA",Please Select,2001-10-00,Coon Rapids City of,100,,,,,,
Cornell Dubilier Oil Plant SC USA,United States of America,Please Select,34.8831,-82.7233,2.9,Please Select,Please Select,"Pickens County, SC, USA",Please Select,2003-07-00,South Carolina Pub Serv Auth,100,,,,,,
Corning Oil Plant IA USA,United States of America,Please Select,41.0339,-94.7077,6,Please Select,Please Select,"Adams County, IA, USA",Please Select,1945-07-00,Corning City of,100,,,,,,
Cos Cob Oil Plant CT USA,United States of America,Please Select,41.0289,-73.5989,75,Please Select,Please Select,"Fairfield County, CT, USA",Please Select,1969-09-00,NRG Energy,100,,,,,,
Craig Oil Plant AK USA,United States of America,Please Select,55.9248,-131.1379,4.4,Please Select,Please Select,"Prince of Wales County, AK, USA",Please Select,1984-09-00,Alaska Power Co,100,,,,,,
Crestwood Dothan Oil Plant AL USA,United States of America,Please Select,31.1581,-85.2971,13.6,Please Select,Please Select,"Houston County, AL, USA",Please Select,1995-01-00,Crestwood Corp,100,,,,,,
Crisfield Oil Plant MD USA,United States of America,Please Select,38.1223,-75.7446,11.6,Please Select,Please Select,"Somerset County, MD, USA",Please Select,1968-05-00,Conectiv Energy Supply Inc,100,,,,,,
Croswell Oil Plant MI USA,United States of America,Please Select,43.4281,-82.8206,5.1,Please Select,Please Select,"Sanilac County, MI, USA",Please Select,1982-11-00,Croswell City of,100,,,,,,
Crotched Mountain Rehabilitation Center Oil Plant NH USA,United States of America,Please Select,42.9134,-71.7141,1.4,Please Select,Please Select,"Hillsborough County, NH, USA",Please Select,1990-02-00,Crotched Mt Rehab Center,100,,,,,,
Croydon CT Generating Station Oil Plant PA USA,United States of America,Please Select,40.08,-74.8917,546.4,Please Select,Please Select,"Bucks County, PA, USA",Please Select,1974-06-00,Exelon Energy,100,,,,,,
Crystal Mountain Oil Plant WA USA,United States of America,Please Select,47.0203,-122.0994,2.7,Please Select,Please Select,"Pierce County, WA, USA",Please Select,1969-12-00,Puget Sound Energy Inc,100,,,,,,
Cudjoe Oil Plant FL USA,United States of America,Please Select,25.4068,-81.0361,5,Please Select,Please Select,"Monroe County, FL, USA",Please Select,1966-08-00,Utility Board of Key West City,100,,,,,,
Cumberland Oil Plant WI USA,United States of America,Please Select,45.4258,-91.8502,21.9,Please Select,Please Select,"Barron County, WI, USA",Please Select,1945-00-00,Cumberland City of,100,,,,,,
Custer Energy Center Oil Plant WI USA,United States of America,Please Select,44.1203,-87.8043,24.5,Please Select,Please Select,"Manitowoc County, WI, USA",Please Select,1999-06-00,Manitowoc Public Utilities,100,,,,,,
DSM Pharmaceuticals Oil Plant NC USA,United States of America,Please Select,35.5893,-77.3777,8.8,Please Select,Please Select,"Pitt County, NC, USA",Please Select,1993-08-00,DSM,100,,,,,,
Dafter Oil Plant MI USA,United States of America,Please Select,46.3033,-84.5909,9,Please Select,Please Select,"Chippewa County, MI, USA",Please Select,1955-11-00,Cloverland Electric Co-op,100,,,,,,
Danbury Diesel Oil Plant WI USA,United States of America,Please Select,45.8632,-92.364,7.8,Please Select,Please Select,"Burnett County, WI, USA",Please Select,1981-11-00,Northwestern Wisconsin Elec Co,100,,,,,,
Darbytown Oil Plant VA USA,United States of America,Please Select,37.4833,-77.35,368.4,Please Select,Please Select,"Henrico County, VA, USA",Please Select,1990-05-00,Dominion Virginia Power,100,,,,,,
Dartmouth College Heating Plant Oil Plant NH USA,United States of America,Please Select,43.9358,-71.8224,7,Please Select,Please Select,"Grafton County, NH, USA",Please Select,1970-01-00,Dartmouth College,100,,,,,,
David City Oil Plant NE USA,United States of America,Please Select,41.2504,-97.137,10.6,Please Select,Please Select,"Butler County, NE, USA",Please Select,1960-01-00,David City City of,100,,,,,,
Dayton Oil Plant IA USA,United States of America,Please Select,42.4278,-94.1818,1.9,Please Select,Please Select,"Webster County, IA, USA",Please Select,2000-10-00,Dayton City of,100,,,,,,
Dayton Oil Plant MI USA,United States of America,Please Select,42.2878,-83.2903,10,Please Select,Please Select,"Wayne County, MI, USA",Please Select,1966-04-00,Detroit Edison Co,100,,,,,,
DeBary Oil Plant FL USA,United States of America,Please Select,28.9047,-81.3319,860.8,Please Select,Please Select,"Volusia County, FL, USA",Please Select,1976-03-00,Progress Energy Florida,100,,,,,,
Dekalb Medical Center Oil Plant GA USA,United States of America,Please Select,33.7718,-84.2213,3.9,Please Select,Please Select,"De Kalb County, GA, USA",Please Select,2004-08-00,DeKalb Regional Health System,100,,,,,,
Delaware City 10 Oil Plant DE USA,United States of America,Please Select,39.6,-75.6167,18.5,Please Select,Please Select,"New Castle County, DE, USA",Please Select,1968-04-00,Conectiv Energy Supply Inc,100,,,,,,
Delaware Generating Station Oil Plant PA USA,United States of America,Please Select,39.9678,-75.1358,392.1,Please Select,Please Select,"Philadelphia County, PA, USA",Please Select,1967-05-00,Exelon Energy,100,,,,,,
Deshler Oil Plant NE USA,United States of America,Please Select,40.1715,-97.589,2.3,Please Select,Please Select,"Thayer County, NE, USA",Please Select,1950-01-00,Deshler City of,100,,,,,,
Detour Oil Plant MI USA,United States of America,Please Select,46.3033,-84.5909,6,Please Select,Please Select,"Chippewa County, MI, USA",Please Select,1973-10-00,Cloverland Electric Co-op,100,,,,,,
Detroit Lakes Oil Plant MN USA,United States of America,Please Select,46.9347,-95.6767,12.5,Please Select,Please Select,"Becker County, MN, USA",Please Select,1968-07-00,Detroit Lakes City of,100,,,,,,
Devon Station Oil Plant CT USA,United States of America,Please Select,41.2083,-73.1092,398.2,Please Select,Please Select,"New Haven County, CT, USA",Please Select,1957-01-00,NRG Energy,100,,,,,,
Diesel Generators Oil Plant WI USA,United States of America,Please Select,43.0676,-89.4165,54,Please Select,Please Select,"Dane County, WI, USA",Please Select,2001-06-00,Madison Gas & Electric Co,100,,,,,,
Diesel Plant Oil Plant MI USA,United States of America,Please Select,41.9173,-85.5324,10,Please Select,Please Select,"St Joseph County, MI, USA",Please Select,,Sturgis City of,100,,,,,,
Dillingham Oil Plant AK USA,United States of America,Please Select,59.8028,-158.2207,5.7,Please Select,Please Select,"Dillingham County, AK, USA",Please Select,1961-01-00,Nushagak Electric Coop. Inc,100,,,,,,
Dominion/Lo Mar Oil Plant VA USA,United States of America,Please Select,38.7052,-77.4828,19.2,Please Select,Please Select,"Prince William County, VA, USA",Please Select,1997-08-00,Manassas City of,100,,,,,,
Doreen Oil Plant MA USA,United States of America,Please Select,42.4431,-73.2061,21.1,Please Select,Please Select,"Berkshire County, MA, USA",Please Select,1969-07-00,Consolidated Edison Development Inc,100,,,,,,
Douglas Oil Plant AZ USA,United States of America,Please Select,31.889,-109.7494,21.4,Please Select,Please Select,"Cochise County, AZ, USA",Please Select,1972-05-00,Arizona Public Service Co,100,,,,,,
Dover Peaking Oil Plant OH USA,United States of America,Please Select,40.441,-81.4738,10.8,Please Select,Please Select,"Tuscarawas County, OH, USA",Please Select,1999-07-00,OMEGAJV2,100,,,,,,
Downtown Oil Plant VA USA,United States of America,Please Select,36.7264,-77.1076,3.2,Please Select,Please Select,"Southampton County, VA, USA",Please Select,1992-11-00,Franklin City of,100,,,,,,
Durant Oil Plant IA USA,United States of America,Please Select,41.7723,-91.132,4.8,Please Select,Please Select,"Cedar County, IA, USA",Please Select,,Durant City of,100,,,,,,
Durgin  and  Crowell Lumber Oil Plant NH USA,United States of America,Please Select,43.3593,-72.224,6.1,Please Select,Please Select,"Sullivan County, NH, USA",Please Select,1999-04-00,Durgin & Crowell Lumber Co,100,,,,,,
Dutch Harbor Oil Plant AK USA,United States of America,Please Select,53.4554,-167.0261,6.5,Please Select,Please Select,"Aleutians West County, AK, USA",Please Select,1985-10-00,Unalaska City of,100,,,,,,
Eagle River Oil Plant WI USA,United States of America,Please Select,46.0549,-89.5097,4,Please Select,Please Select,"Vilas County, WI, USA",Please Select,1964-00-00,Wisconsin Public Service Corp,100,,,,,,
Earlville Oil Plant IA USA,United States of America,Please Select,42.4706,-91.3702,1.8,Please Select,Please Select,"Delaware County, IA, USA",Please Select,2001-07-00,Earlville City of,100,,,,,,
East Hampton Oil Plant NY USA,United States of America,Please Select,40.9583,-72.2306,27.3,Please Select,Please Select,"Suffolk County, NY, USA",Please Select,1970-12-00,National Grid (KeySpan Generation),100,,,,,,
East River Oil Plant NY USA,United States of America,Please Select,40.7281,-73.9742,356.2,Please Select,Please Select,"New York County, NY, USA",Please Select,2005-04-00,Consolidated Edison Co-NY Inc,100,,,,,,
East Third Street Power Plant Oil Plant CA USA,United States of America,Please Select,38.0303,-121.8669,20.5,Please Select,Please Select,"Contra Costa County, CA, USA",Please Select,1990-12-00,Harbert Management Corporation,50,,,,,,
Easton 2 Oil Plant MD USA,United States of America,Please Select,38.7583,-76.143,38.8,Please Select,Please Select,"Talbot County, MD, USA",Please Select,1978-03-00,Easton Utilities Comm,100,,,,,,
Easton Oil Plant MD USA,United States of America,Please Select,38.7583,-76.143,33.6,Please Select,Please Select,"Talbot County, MD, USA",Please Select,1954-11-00,Easton Utilities Comm,100,,,,,,
Eastport Oil Plant ME USA,United States of America,Please Select,45.0406,-67.6374,4,Please Select,Please Select,"Washington County, ME, USA",Please Select,,Bangor Hydro-Electric Co,100,,,,,,
Edgerton Oil Plant OH USA,United States of America,Please Select,39.437,-84.5767,3.6,Please Select,Please Select,"Butler County, OH, USA",Please Select,2000-08-00,OMEGAJV2,100,,,,,,
