Word,Definition
plucks,
plug,"A plug is an object that fills a gap. Examples of a plug are, an electrical plug which plugs into the wall or electrical socket, a sink plug  which stops the water from draining out of the sink or bath."
plum,A fruit that is often a dark red or purple color.
plumb,truly vertical
plume,A large feather of a bird.
plump,"Plump is a word that is used usually when a person is in the middle of ""fat"" and ""skinny"", though not any of them."
plums,The plural form of plum; more than one plum.
plunged,"plunged
simple past tense and past participle of plunge"
plus,You use plus when you add numbers.
plush,"plush (comparative plusher, superlative plushest)
(Britain) Very extravagant.
(Britain) Very expensive, or appearing expensive.They lived in a plush apartment complex.
(of a man-made object) Having a soft, fluffy exterior.This plush toy is so cute and soft - I want it!"
pocket,"A pocket is a small empty space, usually in your clothes, usually to carry things in."
podium,"podium (plural podiums or podia)
A platform on which to stand, as when conducting an orchestra or preaching at a pulpit.
(sometimes proscribed) A stand used to hold notes when speaking publicly.
(sports and other competitions) A steepled platform upon which the three competitors with the best results may stand when being handed their medals or prize.
(sports) A result amongst the best three at a competition.
A low wall, serving as a foundation, a substructure, or a terrace wall.The dwarf wall surrounding the arena of an amphitheatre, from the top of which the seats began.The masonry under the stylobate of a temple, sometimes a mere foundation, sometimes containing chambers.
The dwarf wall surrounding the arena of an amphitheatre, from the top of which the seats began.
The masonry under the stylobate of a temple, sometimes a mere foundation, sometimes containing chambers."
poem,"A poem is a group of words written or spoken as an art. Usually, a poem has a rhythm. Many poems rhyme , and some poems repeat the same first sound in a word ."
poet,A poet is someone who creates poetry. If you write poems you are being a poet.
poetry,The art of writing poems.
point,"A point is a position with no size, or a small dot."
pointless,"pointless (comparative more pointless, superlative most pointless)
Having no point or sharp tip; terminating squarely or in a rounded end.a pointless sworda pointless knife
Having no prominent or important feature, as of an argument, discourse, etc.a pointless remarkThe sequel to the film was even more pointless than the original
Having no purpose; purposeless; unable to effect an aim.Since the decision has already been made, further discussion seems pointless.
(mathematics) Without points.a pointless topology"
points,The plural form of point; more than one point.
poise,"poise (uncountable)
(obsolete) Weight; an amount of weight, the amount something weighs.1590, Edmund Spenser, The Faerie Queene, I.xii:as an huge rockie clift, / Whose false foundation waues haue washt away, / With dreadfull poyse is from the mayneland rift, / [...] So downe he fell [...].
1590, Edmund Spenser, The Faerie Queene, I.xii:as an huge rockie clift, / Whose false foundation waues haue washt away, / With dreadfull poyse is from the mayneland rift, / [...] So downe he fell [...].
The weight, or mass of metal, used in weighing, to balance the substance weighed.
That which causes a balance; a counterweight.DrydenMen of unbounded imagination often want the poise of judgment.
DrydenMen of unbounded imagination often want the poise of judgment.
A state of balance, equilibrium or stability.(Can we find and add a quotation of Bentley to this entry?)
Composure; freedom from embarrassment or affectation.
Mien; bearing or deportment of the head or body.
A condition of hovering, or being suspended.
(physics) A cgs unit of dynamic viscosity equal to one dyne-second per square centimeter."
pole,"A pole is a long stick that is used for grabbing for support.

Synonym: stick"
polish,Someone polishes something when they rub it with a cloth to make it smooth and shiny. Sometimes wax or a special liquid is used.
polite,"If you are polite, you treat people nicely and follow the social rules of your group."
politely,"b'politely (comparative more politely, superlative most politely)\nin a polite manner1986,  John le Carr\xc3\xa9,  A Perfect Spy:It was night once more and Mary had got through another day without throwing herself politely from a top floor window or scrawling filthy words on the dining room walls.\n1986,  John le Carr\xc3\xa9,  A Perfect Spy:It was night once more and Mary had got through another day without throwing herself politely from a top floor window or scrawling filthy words on the dining room walls.'"
polka,"polka (plural polkas)
A lively dance originating in Bohemia.
The music for this dance.
A polka jacket."
poll,A poll is a process of asking people for their opinions about something and counting the results.
pond,A pond is a small lake.
pong,"pong (plural pongs)
(networking) A packet sent in reply to a ping, thereby indicating the presence of a host."
Pontiac,
pony,A pony is a breed of horses that are small in size even when full grown.
poor,"Without money; not rich.

Synonyms: penniless, broke, needy, destitute, hard-up, poverty-stricken and impoverished


Antonyms: rich, wealthy, well-off and well-to-do"
poorly,
Pop,
Pope,
popsicle,A frozen flavored ice or ice cream treat on a stick.
popular,"If something is popular many people like, love, or enjoy it."
porridge,"b""porridge (usually uncountable, plural porridges)\nA type of thick soup or stew, especially thickened with barley.\n(chiefly Britain) A dish made of grain or legumes, milk and/or water, heated and stirred until thick and typically eaten for breakfast.Eat your porridge while it's hot!1922,  Michael Arlen,  \xe2\x80\x9c1/1/2\xe2\x80\x9d, in  \xe2\x80\x9cPiracy\xe2\x80\x9d: A Romantic Chronicle of These Days\xe2\x80\x8e[1]:There were rumours, new rumours every morning, delightful and outrageous rumours, so that the lumps in the porridge were swallowed without comment and the fish-cakes were eaten without contumely.\n1922,  Michael Arlen,  \xe2\x80\x9c1/1/2\xe2\x80\x9d, in  \xe2\x80\x9cPiracy\xe2\x80\x9d: A Romantic Chronicle of These Days\xe2\x80\x8e[1]:There were rumours, new rumours every morning, delightful and outrageous rumours, so that the lumps in the porridge were swallowed without comment and the fish-cakes were eaten without contumely.\n(British slang) A prison sentence.Just do your porridge and keep your head down."""
port,"A port is a place for ships to stop to trade or refuel.

Synonym: harbor"
portfolio,"b'portfolio (plural portfolios)\nA case for carrying papers, drawings, photographs, maps and other flat documents. [from 1720s]\n(by extension) The collection of such documents, especially the works of an artist or photographer.\n(politics) The post and the responsibilities of a cabinet minister or other head of a government department. [from 1930s]Synonyms: ministry\n(finance) The group of investments and other assets held by an investor. [from 1950s]2013 June 22,  \xe2\x80\x9cEngineers of a different kind\xe2\x80\x9d, in  The Economist, volume 407, number 8841, page 70:Private-equity nabobs bristle at being dubbed mere financiers. [\xe2\x80\xa6] Much of their pleading is public-relations bluster. Clever financial ploys are what have made billionaires of the industry\xe2\x80\x99s veterans. \xe2\x80\x9cOperational improvement\xe2\x80\x9d in a portfolio company has often meant little more than promising colossal bonuses to sitting chief executives if they meet ambitious growth targets. That model is still prevalent today.\n2013 June 22,  \xe2\x80\x9cEngineers of a different kind\xe2\x80\x9d, in  The Economist, volume 407, number 8841, page 70:Private-equity nabobs bristle at being dubbed mere financiers. [\xe2\x80\xa6] Much of their pleading is public-relations bluster. Clever financial ploys are what have made billionaires of the industry\xe2\x80\x99s veterans. \xe2\x80\x9cOperational improvement\xe2\x80\x9d in a portfolio company has often meant little more than promising colossal bonuses to sitting chief executives if they meet ambitious growth targets. That model is still prevalent today.\n(business) A collection of assets generally.I would like to introduce you to our portfolio of services.\nA range of products.product portfolio'"
ports,The plural form of port; more than one port.
pose,A position or arrangement.
post,Post is the letters and parcels that you send to other people.
postpone,"When you postpone something, it means to cancel a plan or event with the intention of rescheduling at a later date."
postponement,"postponement (countable and uncountable, plural postponements)
A delay, as a formal delay in a proceeding.The lawyer asked for a postponement in the trial so he could spend more time preparing before it began."
pot,A metal container for cooking. People can cook food by putting the food in a pot and putting the pot on a stove.
pots,The plural form of pot; more than one pot.
pounce,To suddenly jump onto something and grab it.
pound,A pound is a unit of currency used in Britain.
pounding,The present participle of pound.
pout,"pout (third-person singular simple present pouts, present participle pouting, simple past and past participle pouted)
(intransitive) To push out one's lips.
(intransitive) To be or pretend to be ill-tempered; to sulk.
(transitive) To say while pouting."
powder,"Powder is the small parts that are made from any dry substance that is pounded, or ground into dust."
Powell,
power,"Strength, energy, force, control. A quality that can make things happen."
practice,"If you practice something, you do it again and again to improve your ability."
prank,A prank is an act to trick or confuse someone; a mean act.
preach,"When someone preaches, he gives a speech or sermon before a group of people. This speech is usually related to religion."
predict,"If you predict something, you say that it will happen before anyone observes it."
predicts,The third-person singular form of predict.
prepare,"When we prepare something, we get it ready."
press,The press are the people and organisations that report the news.
pretended,The past tense and past participle of pretend.
pretty,"If something is pretty, people like to look at it."
prevent,"When you prevent something, you stop it from happening."
preview,"A preview is a showing of a work like a movie, play, or painting, before the public are able to see it."
prey,"b""prey (countable and uncountable, plural preys)\n(archaic) Anything, as goods, etc., taken or got by violence; anything taken by force from an enemy in warSynonyms: spoil, booty, plunderBible, Numbers xxxi. 12And they brought the captives, and the prey, and the spoil, unto Moses, and Eleazar the priest.\nBible, Numbers xxxi. 12And they brought the captives, and the prey, and the spoil, unto Moses, and Eleazar the priest.\nThat which is or may be seized by animals or birds to be devoured; hence, a person given up as a victim.DrydenAlready sees herself the monster's prey.Joseph Conrad, Heart of Darkness[The helmsman] steered with no end of a swagger while you were by; but if he lost sight of you, he became instantly the prey of an abject funk [\xe2\x80\xa6]\nDrydenAlready sees herself the monster's prey.\nJoseph Conrad, Heart of Darkness[The helmsman] steered with no end of a swagger while you were by; but if he lost sight of you, he became instantly the prey of an abject funk [\xe2\x80\xa6]\nA living thing that is eaten by another living thing.Bible, Job iv. iiThe old lion perisheth for lack of prey.2013 May-June,  William E. Conner,  \xe2\x80\x9cAn Acoustic Arms Race\xe2\x80\x9d, in  American Scientist, volume 101, number 3, page 206-7:Nonetheless, some insect prey take advantage of clutter by hiding in it. Earless ghost swift moths become \xe2\x80\x9cinvisible\xe2\x80\x9d to echolocating bats by forming mating clusters close (less than half a meter) above vegetation and effectively blending into the clutter of echoes that the bat receives from the leaves and stems around them.The rabbit was eaten by the coyote, so the rabbit is the coyote's prey.\nBible, Job iv. iiThe old lion perisheth for lack of prey.\n2013 May-June,  William E. Conner,  \xe2\x80\x9cAn Acoustic Arms Race\xe2\x80\x9d, in  American Scientist, volume 101, number 3, page 206-7:Nonetheless, some insect prey take advantage of clutter by hiding in it. Earless ghost swift moths become \xe2\x80\x9cinvisible\xe2\x80\x9d to echolocating bats by forming mating clusters close (less than half a meter) above vegetation and effectively blending into the clutter of echoes that the bat receives from the leaves and stems around them.\nThe act of devouring other creatures; ravage.ShakespeareHog in sloth, fox in stealth, [\xe2\x80\xa6] lion in prey.\nShakespeareHog in sloth, fox in stealth, [\xe2\x80\xa6] lion in prey.\nThe victim of a disease."""
price,The amount of money you need to pay to buy something.
priest,A priest is a person who leads or performs ceremonies in a religion.
priests,The plural form of priest; more than one priest.
prim,"b""prim (comparative primmer, superlative primmest)\nprudish, straight-laced1986,  John le Carr\xc3\xa9,  A Perfect Spy:God damn it, what does she want of me, this sad, beautiful bridgeplayer of the Fifth Floor, with her air of lost love and her prim carnality? After seven years of her, Brotherhood still had no idea. He'd be out touring the stations, he'd be in Bongabonga land. He'd not speak or write to her for months. Yet he'd hardly unpacked his toothbrush before she was in his arms, demanding him with her sad and hungry eyes.\n1986,  John le Carr\xc3\xa9,  A Perfect Spy:God damn it, what does she want of me, this sad, beautiful bridgeplayer of the Fifth Floor, with her air of lost love and her prim carnality? After seven years of her, Brotherhood still had no idea. He'd be out touring the stations, he'd be in Bongabonga land. He'd not speak or write to her for months. Yet he'd hardly unpacked his toothbrush before she was in his arms, demanding him with her sad and hungry eyes.\nformal; precise; affectedly neat or niceprim regularity; a prim person(Can we find and add a quotation of Jonathan Swift to this entry?)"""
prime,"If something is prime, it is best, most important, most suitable, or in some way number one."
priority,A priority is something that is important; you want to do it first or spend more time or money on it than other things.
prize,A prize is something that you receive for winning or doing well.
prizes,The plural form of prize; more than one prize.
probably,"If something is probably true, or will probably happen, it means there is a high chance of it."
prod,"b'prod (third-person singular simple present prods, present participle prodding, simple past and past participle prodded)\n(transitive) To poke, to push, to touch.\n(transitive) To encourage, to prompt.2012 January 1,  Michael Riordan,  \xe2\x80\x9cTackling Infinity\xe2\x80\x9d, in  American Scientist\xe2\x80\x8e[1], volume 100, number 1, page 86:Some of the most beautiful and thus appealing physical theories, including quantum electrodynamics and quantum gravity, have been dogged for decades by infinities that erupt when theorists try to prod their calculations into new domains. Getting rid of these nagging infinities has probably occupied far more effort than was spent in originating the theories.\n2012 January 1,  Michael Riordan,  \xe2\x80\x9cTackling Infinity\xe2\x80\x9d, in  American Scientist\xe2\x80\x8e[1], volume 100, number 1, page 86:Some of the most beautiful and thus appealing physical theories, including quantum electrodynamics and quantum gravity, have been dogged for decades by infinities that erupt when theorists try to prod their calculations into new domains. Getting rid of these nagging infinities has probably occupied far more effort than was spent in originating the theories.'"
profit,A profit is money made that is over the total amount spent on the thing being sold.
program,"When you program a computer, you use code to tell the computer what to do."
prom,"prom (plural proms)
(Britain) a promenade concert
(Britain, abbreviation) promenade
(US) a formal ball held at a high school or college near the end of the academic year"
prongs,
prophet,"prophet (plural prophets, feminine prophetess)
Someone who speaks by divine inspiration.Muslims believe that Muhammad was the final prophet sent to mankind.
Someone who predicts the future; a soothsayer."
prose,"Prose is words which are not poetry. They can be spoken or written, but they don't have rhythm or rhyme. Most of the time when people use words, it is prose."
protect,"If you protect something or someone, you keep it safe; you stop it from being harmed."
protective,"protective (comparative more protective, superlative most protective)
Serving, intended or wishing to protect."
protectively,"protectively (comparative more protectively, superlative most protectively)
In a protective manner."
protein,"Protein is a natural substances in food such as meat, milk, and beans."
protest,Someone protests something when they say loudly or strongly that the thing is bad.
prove,"When you prove something, you demonstrate that it is for real and true."
provide,"When you provide something, you make it available."
prowl,"b""prowl (third-person singular simple present prowls, present participle prowling, simple past and past participle prowled)\nTo rove over, through, or about in a stealthy manner; especially, to search in, as for prey or booty.Sir Philip SidneyHe prowls each place, still in new colours decked.Watch the lioness prowling in the shrubbery for zebras.It's tough to sneak vandalism into Wikipedia as there are plenty of other users prowling the Recent Changes page.2011 January 5,  Mark Ashenden,  \xe2\x80\x9cWolverhampton 1 - 0 Chelsea\xe2\x80\x9d, in  BBC\xe2\x80\x8e[1]:While McCarthy prowled the touchline barking orders, his opposite number watched on motionless and expressionless and, with 25 minutes to go, decided to throw on Nicolas Anelka for Kalou.\nSir Philip SidneyHe prowls each place, still in new colours decked.\n2011 January 5,  Mark Ashenden,  \xe2\x80\x9cWolverhampton 1 - 0 Chelsea\xe2\x80\x9d, in  BBC\xe2\x80\x8e[1]:While McCarthy prowled the touchline barking orders, his opposite number watched on motionless and expressionless and, with 25 minutes to go, decided to throw on Nicolas Anelka for Kalou.\nTo idle; to go about aimlessly.That dandy has nothing better to do than prowl around town all day in his pinstripe suit.\n(obsolete) To collect by plunder.to prowl money"""
prude,"prude (plural prudes)
A person who is or tries to be excessively proper, especially one who is easily offended by matters of a sexual nature.1991,  Robert M. Pirsig,  Lila:If you didn't go for Lila you're some kind of prissy old prude. If you did go for her you were some kind of dirty old man.
1991,  Robert M. Pirsig,  Lila:If you didn't go for Lila you're some kind of prissy old prude. If you did go for her you were some kind of dirty old man."
prune,A prune is a dried plum.
pry,"pry (third-person singular simple present pries, present participle prying, simple past and past participle pried)
To look where one is not welcome; to be nosey.
To look closely and curiously at.ShakespeareWatch thou and wake when others be asleep, / To pry into the secrets of the state.
ShakespeareWatch thou and wake when others be asleep, / To pry into the secrets of the state."
psycho,Short for psychotic; not able to tell what is real or not.
pub,"A place which serves alcoholic and non-alcoholic drinks, and sometimes food. Pub is a short for public house, which is less commonly used.

Synonyms: inn, tavern and bar"
public,Something is public if it is about or for all the people.
publish,"If you publish a book, an article, a song, etc. you make it available for other people to buy, read, listen to, etc."
pubs,The plural form of pub; more than one pub.
pull,Someone pulls something when they use their hands to move the thing closer to themselves.
pulp,The pulp is the part of a fruit that is soft and edible.
pump,To make water or any other liquid move using a machine.
punch,"When you punch something, you use your fist to hit it."
punched,The past tense and past participle of punch.
punish,"If you punish someone, you cause them to suffer because they have broken a rule.

Synonyms: correct and discipline"
punk,A punk is someone who is a bully or someone who is just nasty to people.
punt,A punt is a type of boat.
puny,"If something is puny, then it's small or tiny."
pup,"A young dog, wolf, fox, seal, shark and some other animals"
pupils,The plural form of pupil; more than one pupil.
puppy,A puppy is a young dog.
pups,The plural form of pup; more than one pup.
purchase,";  If you purchase something, you buy it."
purse,"A purse is a small bag that is used to carry money.

Synonyms: wallet, handbag and pouch"
pursuit,"A pursuit is an act of going after something, to pursue it."
push,"If you push something, you touch it with a force away from your body."
put,"When you put a thing someplace, you move a thing to a place."
puzzle,A puzzle is a game to try to put pieces together.
pygmy,"pygmy (plural pygmies)
(often capitalized, usually in the plural: Pygmies) A member of one of various Ancient Equatorial African tribal peoples, notable for their very short statureThe Bantu immigration drove many Pygmy tribes into the darkest jungle, while other Pygmies were reduced to cohabitation in a subservient status
(Greek mythology) A member of a race of dwarfsHomer and Herodote mentioned Pygmies in India (which would fit the Andamanese Negritoes) or Ethiopia (then meaning all Subsaharan Africa)
(figuratively) Any dwarfish personEveryone looked like Pygmies whenever giant Joe joined his classmates
(figuratively) An insignificant person, at least in some respectDespite his towering stature, the minister proved a political pygmy"
pyramid,A pyramid is an ancient kind of religious monument shaped with four triangles meeting at the top and being supported by a square or rectangle as its floor.
quack,The sound made by a duck
quaint,"b""quaint (comparative quainter, superlative quaintest)\n(obsolete) Of a person: cunning, crafty. [13th-19th c.]1591, William Shakespeare, Henry VI part 2:But you, my Lord, were glad to be imploy'd, / To shew how queint an Orator you are.\n1591, William Shakespeare, Henry VI part 2:But you, my Lord, were glad to be imploy'd, / To shew how queint an Orator you are.\n(obsolete) Cleverly made; artfully contrived. [14th-19th c.]1667, John Milton, Paradise Lost, Book IX:describe races and games, / Or tilting furniture, imblazon'd shields, / Impresses quaint, caparisons and steeds, / Bases and tinsel trappings [...].\n1667, John Milton, Paradise Lost, Book IX:describe races and games, / Or tilting furniture, imblazon'd shields, / Impresses quaint, caparisons and steeds, / Bases and tinsel trappings [...].\n(now  dialectal) Strange or odd; unusual. [from 14th c.]1596, Edmund Spenser, The Faerie Queene, IV.4:Till that there entered on the other side / A straunger knight, from whence no man could reed, / In quyent disguise, full hard to be descride [\xe2\x80\xa6].1808, Walter Scott, Marmion XX:Lord Gifford, deep beneath the ground, / Heard Alexander's bugle sound, / And tarried not his garb to change, / But, in his wizard habit strange, / Came forth,\xe2\x80\x94a quaint and fearful sight!1924, Time, 17 Nov 1924:What none would dispute though many smiled over was the good-humored, necessary, yet quaint omission of the writer's name from the whole consideration.\n1596, Edmund Spenser, The Faerie Queene, IV.4:Till that there entered on the other side / A straunger knight, from whence no man could reed, / In quyent disguise, full hard to be descride [\xe2\x80\xa6].\n1808, Walter Scott, Marmion XX:Lord Gifford, deep beneath the ground, / Heard Alexander's bugle sound, / And tarried not his garb to change, / But, in his wizard habit strange, / Came forth,\xe2\x80\x94a quaint and fearful sight!\n1924, Time, 17 Nov 1924:What none would dispute though many smiled over was the good-humored, necessary, yet quaint omission of the writer's name from the whole consideration.\n(obsolete) Overly discriminating or needlessly meticulous; fastidious; prim. [15th-19th c.]1590, Edmund Spenser, The Faerie Queene, III.7:She, nothing quaint / Nor 'sdeignfull of so homely fashion, / Sith brought she was now to so hard constraint, / Sate downe upon the dusty ground anon [...].\n1590, Edmund Spenser, The Faerie Queene, III.7:She, nothing quaint / Nor 'sdeignfull of so homely fashion, / Sith brought she was now to so hard constraint, / Sate downe upon the dusty ground anon [...].\nPleasingly unusual; especially, having old-fashioned charm. [from 18th c.]1815, Jane Austen, Emma:I admire all that quaint, old-fashioned politeness; it is much more to my taste than modern ease; modern ease often disgusts me.2011, Ian Sample, The Guardian, 31 Jan 2011:The rock is a haven for rare wildlife, a landscape where pretty hedgerows and quaint villages are bordered by a breathtaking, craggy coastline.\n1815, Jane Austen, Emma:I admire all that quaint, old-fashioned politeness; it is much more to my taste than modern ease; modern ease often disgusts me.\n2011, Ian Sample, The Guardian, 31 Jan 2011:The rock is a haven for rare wildlife, a landscape where pretty hedgerows and quaint villages are bordered by a breathtaking, craggy coastline."""
quake,"A quake refers to an earthquake, the shaking of the ground."
qualms,
queen,The female leader of a country whose son will probably lead the country.
quell,"b""quell (third-person singular simple present quells, present participle quelling, simple past and past participle quelled)\n(obsolete, transitive) To kill. [9th-19th c.](Can we find and add a quotation of Edmund Spenser to this entry?)\n(transitive) To subdue, to put down; to silence or force (someone) to submit. [from 10th c.]MacaulayThe nation obeyed the call, rallied round the sovereign, and enabled him to quell the disaffected minority.LongfellowNorthward marching to quell the sudden revolt.\nMacaulayThe nation obeyed the call, rallied round the sovereign, and enabled him to quell the disaffected minority.\nLongfellowNorthward marching to quell the sudden revolt.\n(transitive) To suppress, to put an end to (something); to extinguish. [from 14th c.]to quell griefto quell the tumult of the soul2014 December 13,  Mandeep Sanghera,  \xe2\x80\x9cBurnley 1-0 Southampton\xe2\x80\x9d, in  BBC Sport\xe2\x80\x8e[1]:However, after quelling Burnley's threat, Southampton failed to build on their growing danger culminating in Tadic's missed penalty.\n2014 December 13,  Mandeep Sanghera,  \xe2\x80\x9cBurnley 1-0 Southampton\xe2\x80\x9d, in  BBC Sport\xe2\x80\x8e[1]:However, after quelling Burnley's threat, Southampton failed to build on their growing danger culminating in Tadic's missed penalty.\n(obsolete, intransitive) To be subdued or abated; to diminish. [16th-17th c.]SpenserWinter's wrath begins to quell.\nSpenserWinter's wrath begins to quell.\nTo die.SpenserYet he did quake and quaver, like to quell.\nSpenserYet he did quake and quaver, like to quell."""
quest,A quest is a journey to achieve a goal.
quick,Using very little time; moving far in little time.
quickly,"If you do something quickly or something happens quickly, it happens in a very short time."
quiet,"Not loud; making no sound or making very little sound.

Synonyms: silent, muffled, soft, inaudible, low, hushed, gentle, calm, mild, smooth, relaxed, relaxing, peaceful, serene, still, tranquil, uninterrupted, undisturbed, cool, composed, unruffled, subtle, subdued, muted, understated, restrained, unobtrusive, discreet, reserved and tasteful


Antonyms: loud, noisy, raucous, deafening, earsplitting, piercing, strident, thunderous, shrill, voluble, riotous, blaring, agitated, rowdy, boisterous, forceful, vociferous, nervous, restless, troubled, disturbed, uptight, disconcerted, frantic, tense, stressed, distressed, obvious, clear, noticeable, apparent, evident, tasteless, expressive, effusive, lurid, flamboyant, brassy, brash, flashy, gaudy and vulgar"
quietly,"If you do something quietly, you do it without much noise or in a quiet way."
quilt,"quilt (plural quilts)
A bed covering consisting of two layers of fabric stitched together, with insulation between, often having a decorative design.My grandmother is going to sew a quilt.
A roll of material with sound-absorbing properties, used in soundproofing.
A quilted skirt worn by women."
quit,"If you quit something, you stop doing it; that is, you do not do it any more."
quite,Very; much.
quiz,A small group of questions asked together. Often a quiz is like a small test in school.
quote,To use someone's exact words.
r,The eighteenth  letter of the English alphabet.
rabbit,A mammal with long ears.
race,A race is when people compete to see who is the fastest at either driving or running.
rack,A rack is a series of shelves stacked on top of each other.
racy,"b'racy (comparative racier, superlative raciest)\nMildly risqu\xc3\xa9.She wore a racy dress that was just barely appropriate for the occasion.a racy story\nHaving a strong flavor indicating origin; of distinct characteristic taste; tasting of the soil; hence, fresh; rich.a racy wine\n(figuratively, by extension) Exciting to the mind by a strong or distinctive character of thought or language; peculiar and piquant; fresh and lively.'"
radiant,"Something that is radiant is shining brightly, glowing brilliantly."
radio,"A radio is piece of electronic equipment that sends or receives signals though the air and plays voice, music, or other sounds."
radish,A radish is a type of root vegetable that is small and red.
raffle,A raffle is a gambling contest where people can buy tickets to get a chance to win money or some other award.
raft,"A raft is a rough flat boat, often made from large logs of wood joined together."
rag,"A piece of cloth to clean dirty stuff, usually dirty."
raid,A raid is a rapid surprise attack on an enemy.
rail,"A rail is a long and thin piece of metal.

Synonyms: rod and bar"
rain,Drops of water that fall out of clouds in the sky.
rainy,"If it is rainy, it is a wet day with rain."
raise,If you raise something you make it higher; that is you move it up.
rake,"A rake is a garden tool used to gather leaves, grass clippings, and other garden debris."
ram,"ram (plural rams)
A male sheep.
A battering ram; a heavy object used for breaking through doors.
A warship intended to sink other ships by ramming them.
A piston powered by hydraulic pressure.
A weight which strikes a blow, in a ramming device such as a pile driver, a steam hammer, a stamp mill."
ramp,A sloped surface that connects two levels.
ran,The simple past of run.
ranch,"A ranch is where animals are kept like horses, pigs, etc."
Randy,
rang,The past tense of ring.
range,"A range of 



X


{\displaystyle X}

 is a number of different kinds of 



X


{\displaystyle X}

s"
rank,"A rank is the position of a person, place, thing, or idea in relation to others based on a shared property such as location, population, or quality."
rant,"rant (plural rants)
A criticism done by ranting.
A wild, emotional, and sometimes incoherent articulation.
A type of dance step usually performed in clogs, and particularly (but not exclusively) associated with the English North West Morris tradition. The rant step consists of alternately bringing one foot across and in front of the other and striking the ground, with the other foot making a little hop."
rap,A rap is when someone makes a fast song with rhythms.
rapid,"If an action or idea is rapid, it happens quickly."
rat,Rats are medium-sized rodents. They often live near people and eat garbage. Rats can carry diseases. They are also kept as pets and can be very tame.
rate,Speed. A rate is how fast something happens. Something can go at a fast rate or a slow rate.
rather,"If something is rather large, different, difficult, etc., it is quite that way."
rat's,
ravens,The plural form of raven; more than one raven.
raw,"If something is raw, it has not been cooked, processed, prepared, etc."
Ray,
reach,"If you reach a level, you get to that level."
reachable,"reachable (comparative more reachable, superlative most reachable)
Within easy reach; accessible
(mathematics) (of a node) That may be reached from another node in a graph by passing along one or more lines"
react,"If you react to a person or event, you do something because of the person or event."
read,Someone is reading when they are looking at a book or other writing and understanding what it says.
ready,Prepared.
real,A thing that is true is real.
reality,Reality is what actually is. Reality is what is real.
realize,"If you realize something, you become aware of it."
really,"When something is really a certain way, its very or very much that way."
realty,"realty (countable and uncountable, plural realties)
real estate; a piece of real property; land.
(obsolete) reality
(obsolete) loyalty; faithfulness(Can we find and add a quotation of Milton to this entry?)"
reasonable,A reasonable amount or number is not too much or too big.
recognize,"If you recognize something, you realize what it is."
recognizes,The third-person singular form of recognize.
recommend,"If you recommend something, you tell somebody that it is good or that they should try it."
record,A record is something in writing to tell what happened.
recruit,"If you recruit people, you try to get them to come and work or study with you or to join your group."
red,one of the colors people can see:
Reds,
reduce,"If something is reduced, it has been brought down or made smaller.

Synonyms: shrink and decrease


Antonyms: enlarge, increase and stretch"
reed,A reed is a tall plant that grows in water.
reef,"reef (comparative reefer or more reef, superlative reefest or most reef)
Scabby; scurvy."
reeks,"reeks
plural of reek"
reel,"A reel is a machine such as a cylinder that is turned on an axis and used for storing and winding flexible materials such as film, rope, and other things."
reform,"If you reform something, you improve it by removing or correcting faults, problems, etc."
refreshed,The past tense and past participle of refresh.
refreshments,The plural form of refreshment; more than one refreshment.
refuge,"A place that gives something or someone safety, protection or shelter

Synonyms: haven and sanctuary"
refund,"When you refund someone, you return money to the person or company, usually because the money was not used for the original purpose."
regulate,"If you regulate something, you control it by making laws and rules."
rehearse,To repeat something.
reign,"If you reign you rule or lead a country. Usually, this means you are a king or queen ."
rein,"rein (plural reins)
A strap or rope attached to the bridle or bit, used to control a horse, animal or young child.
(figuratively) An instrument or means of curbing, restraining, or governing.MiltonLet their eyes rove without rein.
MiltonLet their eyes rove without rein."
rejected,The past tense and past participle of reject.
rejoicing,"rejoicing
present participle of rejoice"
relative,Compared to something else.
relaxes,The third-person singular form of relax.
relief,or  Relief is the good feeling you have when something bad is finished or didn't happen.
relieve,"To make  stand out; to make prominent, bring into relief."
relieves,The third-person singular form of relieve.
